media_id,split,request_start_utc,request_end_utc,latency_seconds,attempt_count,first_attempt_success,http_ok,status_code,error_type
IMG_004116,VAL,,,1.6384539604187012,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004117,VAL,,,1.552778720855713,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004118,VAL,,,1.5441596508026123,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004119,VAL,,,1.6007859706878662,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004120,VAL,,,1.6036903858184814,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003994,DEV,,,1.619734764099121,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004121,VAL,,,1.5871598720550537,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004122,VAL,,,1.5212891101837158,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004123,VAL,,,1.5224461555480957,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004124,VAL,,,1.5430021286010742,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004125,VAL,,,1.6273751258850098,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004126,VAL,,,1.5665292739868164,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004127,VAL,,,1.4941434860229492,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004128,VAL,,,1.4762446880340576,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004129,VAL,,,1.5738205909729004,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004130,VAL,,,1.573509931564331,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003995,DEV,,,1.5000457763671875,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004131,VAL,,,1.5219321250915527,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004132,VAL,,,1.5303232669830322,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004133,VAL,,,1.5953302383422852,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004134,VAL,,,1.4711477756500244,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004135,VAL,,,1.6510310173034668,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004136,VAL,,,1.5593745708465576,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004137,VAL,,,1.4137225151062012,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004138,VAL,,,1.6203198432922363,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004139,VAL,,,1.5500755310058594,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004140,VAL,,,1.5723028182983398,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003996,DEV,,,1.626939058303833,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004141,VAL,,,1.545438289642334,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003997,DEV,,,1.6144826412200928,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003998,DEV,,,1.6453919410705566,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003999,DEV,,,1.5536797046661377,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004000,DEV,,,1.3946895599365234,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003882,DEV,,,1.5465705394744873,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003883,DEV,,,2.029428243637085,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003884,DEV,,,1.5122113227844238,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003885,DEV,,,1.5172514915466309,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003886,DEV,,,1.6670494079589844,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003887,DEV,,,1.7401854991912842,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003888,DEV,,,1.7123403549194336,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003889,DEV,,,1.5025627613067627,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003890,DEV,,,1.4756100177764893,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_004001,DEV,,,1.5353915691375732,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003891,DEV,,,1.8626654148101807,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
IMG_003892,DEV,,,1.7124321460723877,1,True,True,200,json_parse_failure: Expecting value: line 1 column 1 (char 0)
