candidate,FN,FP,TN,TP,accuracy,determinate_count,f1,fpr,gt_uncertain_prediction_distribution,hard_negative_fpr,model_uncertain_count,model_uncertain_rate,ordinary_negative_fpr,positive_recall,precision,recall,specificity,protocol_gate,structured_conflict_rate,p50,p95,advancement_gate,reference_quality_pass,decision
C3_BASELINE,0,5,55,50,0.9545454545454546,110,0.9523809523809523,0.08333333333333333,"{'negative': 2, 'positive': 8}",0.125,0,0.0,0.0,1.0,0.9090909090909091,1.0,0.9166666666666666,True,0.0,1.580759,1.8150098,False,False,historical_baseline
S1_DIRECT,0,20,40,50,0.8181818181818182,110,0.8333333333333334,0.3333333333333333,"{'positive': 9, 'negative': 1}",0.5,0,0.0,0.0,1.0,0.7142857142857143,1.0,0.6666666666666666,True,0.0,2.1348805,9.601209649999978,False,False,not_eligible
S1_RULE,0,20,40,50,0.8181818181818182,110,0.8333333333333334,0.3333333333333333,"{'positive': 9, 'negative': 1}",0.5,0,0.0,0.0,1.0,0.7142857142857143,1.0,0.6666666666666666,True,0.0,2.1348805,9.601209649999978,False,False,not_eligible
