total_duration,load_duration,prompt_eval_duration,eval_duration,prompt_eval_count,eval_count,candidate,media_id,request_id,client_latency_seconds
2.162251866,0.420654676,0.209265824,0.967680397,1039,112,S1_STRUCTURED,IMG_003804,P3_SCREEN_S1_STRUCTURED_20260827_114003_033,2.170536852000623
2.152800487,0.455056108,0.209786076,0.958293648,1039,110,S1_STRUCTURED,IMG_003805,P3_SCREEN_S1_STRUCTURED_20260827_114003_034,2.1592357770005037
2.320852802,0.604372877,0.207791369,0.942755626,1039,107,S1_STRUCTURED,IMG_003806,P3_SCREEN_S1_STRUCTURED_20260827_114003_035,2.3307028340004763
2.162349442,0.430208765,0.204947169,0.925030341,1039,109,S1_STRUCTURED,IMG_003807,P3_SCREEN_S1_STRUCTURED_20260827_114003_036,2.172783422000066
2.097900444,0.582010321,0.209565068,0.809585753,1039,94,S1_STRUCTURED,IMG_003808,P3_SCREEN_S1_STRUCTURED_20260827_114003_037,2.107724413000142
2.204631847,0.489146388,0.217016447,0.835673458,1039,95,S1_STRUCTURED,IMG_003809,P3_SCREEN_S1_STRUCTURED_20260827_114003_038,2.213200696000058
2.253716955,0.453687517,0.199091254,0.92207442,1039,108,S1_STRUCTURED,IMG_003810,P3_SCREEN_S1_STRUCTURED_20260827_114003_039,2.2637220550004713
2.183018585,0.44925569,0.208297413,0.891329063,1039,104,S1_STRUCTURED,IMG_003811,P3_SCREEN_S1_STRUCTURED_20260827_114003_040,2.193481759999486
2.330979355,0.527417332,0.214873983,0.990134577,1039,112,S1_STRUCTURED,IMG_003892,P3_SCREEN_S1_STRUCTURED_20260827_114003_041,2.3403292120001424
2.245238818,0.408353981,0.210137204,0.898017145,1039,104,S1_STRUCTURED,IMG_003893,P3_SCREEN_S1_STRUCTURED_20260827_114003_042,2.253226267000173
2.294816823,0.607736903,0.214991918,0.90629293,1039,104,S1_STRUCTURED,IMG_003894,P3_SCREEN_S1_STRUCTURED_20260827_114003_043,2.3024264940004286
2.257672914,0.454601973,0.208623962,0.881120939,1039,102,S1_STRUCTURED,IMG_003895,P3_SCREEN_S1_STRUCTURED_20260827_114003_044,2.2659083279995684
2.144246195,0.440688854,0.228727285,0.940287126,1039,108,S1_STRUCTURED,IMG_003896,P3_SCREEN_S1_STRUCTURED_20260827_114003_045,2.1523367509998934
2.182634906,0.499151466,0.205200268,0.924681544,1039,108,S1_STRUCTURED,IMG_003897,P3_SCREEN_S1_STRUCTURED_20260827_114003_046,2.1905753569999433
2.103126171,0.458014162,0.19825783,0.921350939,1039,108,S1_STRUCTURED,IMG_003898,P3_SCREEN_S1_STRUCTURED_20260827_114003_047,2.1141880710001715
2.150883741,0.469074022,0.21422539,0.924560202,1039,109,S1_STRUCTURED,IMG_003899,P3_SCREEN_S1_STRUCTURED_20260827_114003_048,2.1606324809999933
2.080061667,0.484278157,0.201117565,0.885660622,1039,104,S1_STRUCTURED,IMG_003900,P3_SCREEN_S1_STRUCTURED_20260827_114003_049,2.088275679999242
2.283629721,0.456021224,0.216319751,0.951640896,1039,113,S1_STRUCTURED,IMG_003901,P3_SCREEN_S1_STRUCTURED_20260827_114003_050,2.2934815319995323
2.283652359,0.470202021,0.276028541,0.930391039,1039,108,S1_STRUCTURED,IMG_003902,P3_SCREEN_S1_STRUCTURED_20260827_114003_051,2.2933102770002733
2.187445144,0.524051994,0.200725357,0.933361158,1039,109,S1_STRUCTURED,IMG_003903,P3_SCREEN_S1_STRUCTURED_20260827_114003_052,2.193628374000582
2.127820363,0.498676224,0.206622706,0.874534404,1039,102,S1_STRUCTURED,IMG_003904,P3_SCREEN_S1_STRUCTURED_20260827_114003_053,2.134071993999896
2.476846472,0.586236059,0.305158177,0.979192417,1039,109,S1_STRUCTURED,IMG_003905,P3_SCREEN_S1_STRUCTURED_20260827_114003_054,2.4847489719995792
2.159911966,0.43471388,0.219098783,0.95463673,1039,111,S1_STRUCTURED,IMG_003906,P3_SCREEN_S1_STRUCTURED_20260827_114003_055,2.1695987319999404
2.101645157,0.467590648,0.218138573,0.975586726,1039,107,S1_STRUCTURED,IMG_003907,P3_SCREEN_S1_STRUCTURED_20260827_114003_056,2.11138479300007
2.126368336,0.475477158,0.212573116,0.878785504,1039,104,S1_STRUCTURED,IMG_003908,P3_SCREEN_S1_STRUCTURED_20260827_114003_057,2.1343732159994033
2.062423707,0.41068995,0.21607615,0.907771632,1039,106,S1_STRUCTURED,IMG_003909,P3_SCREEN_S1_STRUCTURED_20260827_114003_058,2.0732722140000988
2.041493968,0.441629738,0.212879591,0.887530075,1039,104,S1_STRUCTURED,IMG_003910,P3_SCREEN_S1_STRUCTURED_20260827_114003_059,2.04936724900017
2.144138126,0.492552573,0.200516594,0.918911743,1039,106,S1_STRUCTURED,IMG_003911,P3_SCREEN_S1_STRUCTURED_20260827_114003_060,2.152484958000059
2.059376819,0.497484897,0.209516769,0.82717884,1039,95,S1_STRUCTURED,IMG_003982,P3_SCREEN_S1_STRUCTURED_20260827_114003_061,2.0698561650006013
1.988273745,0.485260409,0.225042695,0.805289989,1039,95,S1_STRUCTURED,IMG_003983,P3_SCREEN_S1_STRUCTURED_20260827_114003_062,1.9976847910002107
2.030183916,0.530113482,0.204071895,0.827844823,1039,97,S1_STRUCTURED,IMG_003984,P3_SCREEN_S1_STRUCTURED_20260827_114003_063,2.039957157999197
2.21673315,0.485447604,0.202305625,0.970089101,1039,112,S1_STRUCTURED,IMG_003985,P3_SCREEN_S1_STRUCTURED_20260827_114003_064,2.2262515140000687
2.025705331,0.437208434,0.203571953,0.824148998,1039,96,S1_STRUCTURED,IMG_003986,P3_SCREEN_S1_STRUCTURED_20260827_114003_065,2.035822693999762
2.075876017,0.482559494,0.204642368,0.87235416,1039,103,S1_STRUCTURED,IMG_003987,P3_SCREEN_S1_STRUCTURED_20260827_114003_066,2.083961479000209
2.159760515,0.429546922,0.245851995,0.899001486,1039,103,S1_STRUCTURED,IMG_003988,P3_SCREEN_S1_STRUCTURED_20260827_114003_067,2.166915503999917
2.005731224,0.45921182,0.206849296,0.826913127,1039,97,S1_STRUCTURED,IMG_003989,P3_SCREEN_S1_STRUCTURED_20260827_114003_068,2.0168961250001303
2.037590115,0.485292085,0.217573809,0.822730483,1039,96,S1_STRUCTURED,IMG_003990,P3_SCREEN_S1_STRUCTURED_20260827_114003_069,2.047398334000718
2.069629471,0.462159262,0.22497049,0.8563654,1039,96,S1_STRUCTURED,IMG_003991,P3_SCREEN_S1_STRUCTURED_20260827_114003_070,2.079508847999932
1.972578533,0.453418907,0.223982495,0.804025989,1039,95,S1_STRUCTURED,IMG_003992,P3_SCREEN_S1_STRUCTURED_20260827_114003_071,1.980747839000287
2.044918059,0.504985785,0.199322766,0.818284313,1039,95,S1_STRUCTURED,IMG_003993,P3_SCREEN_S1_STRUCTURED_20260827_114003_072,2.055301870999756
2.136784583,0.461281946,0.225974122,0.901977066,1039,105,S1_STRUCTURED,IMG_003994,P3_SCREEN_S1_STRUCTURED_20260827_114003_073,2.1471154359996945
2.037363041,0.433732813,0.196261755,0.81800492,1039,97,S1_STRUCTURED,IMG_003995,P3_SCREEN_S1_STRUCTURED_20260827_114003_074,2.0470789350001724
2.046607633,0.469062101,0.229447911,0.827929012,1039,97,S1_STRUCTURED,IMG_003996,P3_SCREEN_S1_STRUCTURED_20260827_114003_075,2.0577232579998963
2.115637498,0.417812619,0.211681124,0.946152381,1039,110,S1_STRUCTURED,IMG_003997,P3_SCREEN_S1_STRUCTURED_20260827_114003_076,2.121761489999699
2.083515463,0.408381104,0.234398071,0.944485639,1039,111,S1_STRUCTURED,IMG_003998,P3_SCREEN_S1_STRUCTURED_20260827_114003_077,2.0958467890004613
2.142101146,0.47055462,0.221416419,0.94588904,1039,111,S1_STRUCTURED,IMG_003999,P3_SCREEN_S1_STRUCTURED_20260827_114003_078,2.1518927690003693
2.048149885,0.429912425,0.242175665,0.83335448,1039,97,S1_STRUCTURED,IMG_004000,P3_SCREEN_S1_STRUCTURED_20260827_114003_079,2.0584318489991347
2.142550187,0.449915607,0.203649204,0.933594284,1039,111,S1_STRUCTURED,IMG_004001,P3_SCREEN_S1_STRUCTURED_20260827_114003_080,2.1539390110001477
2.03264473,0.486674174,0.221204419,0.81150082,1039,96,S1_STRUCTURED,IMG_004012,P3_SCREEN_S1_STRUCTURED_20260827_114003_081,2.04211314999975
1.944496356,0.428692389,0.198037723,0.815476197,1039,96,S1_STRUCTURED,IMG_004013,P3_SCREEN_S1_STRUCTURED_20260827_114003_082,1.954749463000553
1.951922378,0.439251397,0.20837848,0.82856399,1039,97,S1_STRUCTURED,IMG_004014,P3_SCREEN_S1_STRUCTURED_20260827_114003_083,1.9622892830002456
2.002462152,0.464246764,0.203052498,0.803485252,1039,96,S1_STRUCTURED,IMG_004015,P3_SCREEN_S1_STRUCTURED_20260827_114003_084,2.0090603820008255
2.028045148,0.461616041,0.225753051,0.822428104,1039,95,S1_STRUCTURED,IMG_004016,P3_SCREEN_S1_STRUCTURED_20260827_114003_085,2.0380052990003605
2.088027226,0.471832616,0.205678322,0.903263055,1039,107,S1_STRUCTURED,IMG_004017,P3_SCREEN_S1_STRUCTURED_20260827_114003_086,2.0985155409998697
2.186920111,0.4830522,0.215336695,0.942522578,1039,112,S1_STRUCTURED,IMG_004018,P3_SCREEN_S1_STRUCTURED_20260827_114003_087,2.196750501999304
2.067954438,0.439231489,0.200739522,0.917930923,1039,109,S1_STRUCTURED,IMG_004019,P3_SCREEN_S1_STRUCTURED_20260827_114003_088,2.077951777000635
1.9831901,0.473641659,0.21350762,0.808702362,1039,96,S1_STRUCTURED,IMG_004020,P3_SCREEN_S1_STRUCTURED_20260827_114003_089,1.9950883390001763
2.009991646,0.43548303,0.200233986,0.834968192,1039,100,S1_STRUCTURED,IMG_004021,P3_SCREEN_S1_STRUCTURED_20260827_114003_090,2.0184152459996767
1.870711507,0.40699974,0.224274193,0.769337629,1039,94,S1_STRUCTURED,IMG_004072,P3_SCREEN_S1_STRUCTURED_20260827_114003_091,1.8810998710005151
1.976073079,0.486497481,0.232297046,0.763041994,1039,96,S1_STRUCTURED,IMG_004073,P3_SCREEN_S1_STRUCTURED_20260827_114003_092,1.9856524469996657
