source,dataset,probe,request_index,request_id,media_id,split,sample_role,scenario_id,group_id,timestamp_start_utc,timestamp_end_utc,wall_span_seconds,client_latency_seconds,total_duration_seconds,load_duration_seconds,prompt_eval_duration_seconds,eval_duration_seconds,client_overhead_seconds,load_ratio,prompt_eval_ratio,eval_ratio,prompt_eval_count,eval_count,done,done_reason,http_code,prompt_sha256,config_fingerprint_without_keep_alive,keep_alive,image_sha256,image_path,image_bytes,high_load,gpu_memory_used,gpu_memory_free,gpu_utilization_gpu,gpu_utilization_memory,runner_pid
historical_raw_derived,SCREEN,P2_C3_SCREEN,11,P2_SCREEN_C3_20260826_231841_011,IMG_003752,SCREEN,,,,2026-08-26T15:18:57.282632+00:00,2026-08-26T15:18:58.882612+00:00,1.59998,1.543189525604248,1.535204536,0.468300446,0.13309252,0.40145228,0.007984989604248094,0.30504107760140176,0.08669367297909025,0.26149758588258887,598,51,True,stop,200,685bb9724b1faa96298c1e6cf8139774d82afbc9d2f30cdd154fbe5cb776951e,872e7210a216c9d496b7930f0b9cf4cef059012ab7c9c4aea23138f3dc8086fe,historical_omitted,9d51842db456f20284d6d821eea6fc180cf491666bb736d8adecd47b93d88344,/home/yanbo/net_vlm_person_fallen_v2_optimization/05_p2_hard_negative_semantic_optimization/04_screening/C3/processed_448x336/IMG_003752.jpg,21656,False,unavailable,unavailable,unavailable,unavailable,unavailable
historical_raw_derived,SCREEN,P2_C3_SCREEN,12,P2_SCREEN_C3_20260826_231841_012,IMG_003753,SCREEN,,,,2026-08-26T15:18:58.883864+00:00,2026-08-26T15:19:00.495901+00:00,1.612037,1.5563619136810303,1.53773174,0.465505572,0.126003704,0.48120679,0.01863017368103037,0.3027222238386001,0.08194127800210459,0.31293285914746094,598,61,True,stop,200,685bb9724b1faa96298c1e6cf8139774d82afbc9d2f30cdd154fbe5cb776951e,872e7210a216c9d496b7930f0b9cf4cef059012ab7c9c4aea23138f3dc8086fe,historical_omitted,21e39b5f62d3e42f57b1f4a6eb3d6e2de4b48a193a7508edd3dc2914c62b7452,/home/yanbo/net_vlm_person_fallen_v2_optimization/05_p2_hard_negative_semantic_optimization/04_screening/C3/processed_448x336/IMG_003753.jpg,20887,False,unavailable,unavailable,unavailable,unavailable,unavailable
historical_raw_derived,SCREEN,P2_C3_SCREEN,13,P2_SCREEN_C3_20260826_231841_013,IMG_003754,SCREEN,,,,2026-08-26T15:19:00.496969+00:00,2026-08-26T15:19:02.061980+00:00,1.565011,1.5147571563720703,1.507040949,0.486553742,0.119017187,0.411168999,0.0077162073720702384,0.3228536970563764,0.07897408964167435,0.27283200185955925,598,51,True,stop,200,685bb9724b1faa96298c1e6cf8139774d82afbc9d2f30cdd154fbe5cb776951e,872e7210a216c9d496b7930f0b9cf4cef059012ab7c9c4aea23138f3dc8086fe,historical_omitted,4db498f7d89028b884b3ad72b466542296ceea8b6434cec90c51d30a21bdcd22,/home/yanbo/net_vlm_person_fallen_v2_optimization/05_p2_hard_negative_semantic_optimization/04_screening/C3/processed_448x336/IMG_003754.jpg,13628,False,unavailable,unavailable,unavailable,unavailable,unavailable
historical_raw_derived,SCREEN,P2_C3_SCREEN,14,P2_SCREEN_C3_20260826_231841_014,IMG_003755,SCREEN,,,,2026-08-26T15:19:02.063022+00:00,2026-08-26T15:19:03.586869+00:00,1.523847,1.4728214740753174,1.465086287,0.404766456,0.116129196,0.510341622,0.007735187075317285,0.27627482394147884,0.07926440717549355,0.3483355393660851,598,63,True,stop,200,685bb9724b1faa96298c1e6cf8139774d82afbc9d2f30cdd154fbe5cb776951e,872e7210a216c9d496b7930f0b9cf4cef059012ab7c9c4aea23138f3dc8086fe,historical_omitted,5f443d6393dbe2f28eb5fa6a524207ee05b4d6e0649b8ef7fb3096a7391d9ee3,/home/yanbo/net_vlm_person_fallen_v2_optimization/05_p2_hard_negative_semantic_optimization/04_screening/C3/processed_448x336/IMG_003755.jpg,10691,False,unavailable,unavailable,unavailable,unavailable,unavailable
historical_raw_derived,SCREEN,P2_C3_SCREEN,15,P2_SCREEN_C3_20260826_231841_015,IMG_003756,SCREEN,,,,2026-08-26T15:19:03.587796+00:00,2026-08-26T15:19:05.262645+00:00,1.674849,1.6180853843688965,1.611507134,0.467324706,0.113224454,0.503694169,0.006578250368896477,0.28999232838642836,0.07025997689439953,0.31256093030736776,598,64,True,stop,200,685bb9724b1faa96298c1e6cf8139774d82afbc9d2f30cdd154fbe5cb776951e,872e7210a216c9d496b7930f0b9cf4cef059012ab7c9c4aea23138f3dc8086fe,historical_omitted,0677f623922ae8c0833c4608b442c97f115863391363ec031746984b2a1f7bcc,/home/yanbo/net_vlm_person_fallen_v2_optimization/05_p2_hard_negative_semantic_optimization/04_screening/C3/processed_448x336/IMG_003756.jpg,15656,False,unavailable,unavailable,unavailable,unavailable,unavailable
historical_raw_derived,SCREEN,P2_C3_SCREEN,16,P2_SCREEN_C3_20260826_231841_016,IMG_003757,SCREEN,,,,2026-08-26T15:19:05.263717+00:00,2026-08-26T15:19:06.869029+00:00,1.605312,1.5494072437286377,1.54162667,0.408890156,0.116470895,0.534986689,0.0077805737286376075,0.2652329282808788,0.07555064871834372,0.3470273960685955,598,68,True,stop,200,685bb9724b1faa96298c1e6cf8139774d82afbc9d2f30cdd154fbe5cb776951e,872e7210a216c9d496b7930f0b9cf4cef059012ab7c9c4aea23138f3dc8086fe,historical_omitted,0701ddbdd49380437869cac2251251f3aa0b305fca47da6de7c2fa171e582854,/home/yanbo/net_vlm_person_fallen_v2_optimization/05_p2_hard_negative_semantic_optimization/04_screening/C3/processed_448x336/IMG_003757.jpg,15433,False,unavailable,unavailable,unavailable,unavailable,unavailable
historical_raw_derived,SCREEN,P2_C3_SCREEN,17,P2_SCREEN_C3_20260826_231841_017,IMG_003758,SCREEN,,,,2026-08-26T15:19:06.870035+00:00,2026-08-26T15:19:08.477828+00:00,1.607793,1.5527679920196533,1.544810409,0.474991052,0.134574836,0.411042825,0.007957583019653214,0.307475305210738,0.08711414372661701,0.26607978727051673,598,51,True,stop,200,685bb9724b1faa96298c1e6cf8139774d82afbc9d2f30cdd154fbe5cb776951e,872e7210a216c9d496b7930f0b9cf4cef059012ab7c9c4aea23138f3dc8086fe,historical_omitted,02d0518049b36e6c2705a4571f7092c9c48fd6f79e4979e7771788eb9107f992,/home/yanbo/net_vlm_person_fallen_v2_optimization/05_p2_hard_negative_semantic_optimization/04_screening/C3/processed_448x336/IMG_003758.jpg,17214,False,unavailable,unavailable,unavailable,unavailable,unavailable
historical_raw_derived,SCREEN,P2_C3_SCREEN,18,P2_SCREEN_C3_20260826_231841_018,IMG_003759,SCREEN,,,,2026-08-26T15:19:08.479183+00:00,2026-08-26T15:19:10.056118+00:00,1.576935,1.5240294933319092,1.516653843,0.413659043,0.132384227,0.43809476,0.007375650331909123,0.2727445322538242,0.08728704154280773,0.2888561302382827,598,54,True,stop,200,685bb9724b1faa96298c1e6cf8139774d82afbc9d2f30cdd154fbe5cb776951e,872e7210a216c9d496b7930f0b9cf4cef059012ab7c9c4aea23138f3dc8086fe,historical_omitted,30bae33ef6a87738d1ee9d7d6ce2d42944cd954b3f4062fd6de26355e168188b,/home/yanbo/net_vlm_person_fallen_v2_optimization/05_p2_hard_negative_semantic_optimization/04_screening/C3/processed_448x336/IMG_003759.jpg,16383,False,unavailable,unavailable,unavailable,unavailable,unavailable
historical_raw_derived,SCREEN,P2_C3_SCREEN,19,P2_SCREEN_C3_20260826_231841_019,IMG_003760,SCREEN,,,,2026-08-26T15:19:10.057165+00:00,2026-08-26T15:19:11.448353+00:00,1.391188,1.3356640338897705,1.327833728,0.423587832,0.114428966,0.377103236,0.007830305889770406,0.31900668213784067,0.08617717985847094,0.2839988381436866,598,48,True,stop,200,685bb9724b1faa96298c1e6cf8139774d82afbc9d2f30cdd154fbe5cb776951e,872e7210a216c9d496b7930f0b9cf4cef059012ab7c9c4aea23138f3dc8086fe,historical_omitted,549d55d23c0e591fd1d4500c7b2ead5eb5f4f6657d9d5bad963feac31c5a9b2f,/home/yanbo/net_vlm_person_fallen_v2_optimization/05_p2_hard_negative_semantic_optimization/04_screening/C3/processed_448x336/IMG_003760.jpg,18337,False,unavailable,unavailable,unavailable,unavailable,unavailable
historical_raw_derived,SCREEN,P2_C3_SCREEN,20,P2_SCREEN_C3_20260826_231841_020,IMG_003761,SCREEN,,,,2026-08-26T15:19:11.449529+00:00,2026-08-26T15:19:13.139452+00:00,1.689923,1.6356589794158936,1.626457759,0.469935226,0.114077991,0.513480912,0.009201220415893552,0.2889317127356149,0.07013892022018385,0.3157050400839829,598,64,True,stop,200,685bb9724b1faa96298c1e6cf8139774d82afbc9d2f30cdd154fbe5cb776951e,872e7210a216c9d496b7930f0b9cf4cef059012ab7c9c4aea23138f3dc8086fe,historical_omitted,e94ff2a0fe9a16ac49da733e32db3d60fa436f385d1fcb0188577a76ff65c6ac,/home/yanbo/net_vlm_person_fallen_v2_optimization/05_p2_hard_negative_semantic_optimization/04_screening/C3/processed_448x336/IMG_003761.jpg,15289,False,unavailable,unavailable,unavailable,unavailable,unavailable
