source,dataset,probe,request_index,change_type,from_state,to_state,request_id,media_id,timestamp_start_utc,load_duration_seconds
historical_p2_val,VAL,,1,START_HIGH,START,HIGH,P2_VAL_C3_20260827_091522_001,IMG_003812,2026-08-27T01:15:22.825851+00:00,9.524877227
historical_p2_val,VAL,,21,HIGH_TO_LOW,HIGH,LOW,P2_VAL_C3_20260827_091522_021,IMG_003832,2026-08-27T01:20:40.551622+00:00,0.519532427
historical_p2_val,VAL,,22,LOW_TO_HIGH,LOW,HIGH,P2_VAL_C3_20260827_091522_022,IMG_003833,2026-08-27T01:20:42.467730+00:00,13.304314062
historical_p2_val,VAL,,65,HIGH_TO_LOW,HIGH,LOW,P2_VAL_C3_20260827_091522_065,IMG_004106,2026-08-27T01:31:45.333835+00:00,0.50097417
p2l_probe,,P2L_A_ATTEMPT_001,1,START_HIGH,START,HIGH,P2L_A_20260827_102551_001,IMG_003745,2026-08-27T02:25:51.465091+00:00,5.839109138
p2l_probe,,P2L_A,1,START_HIGH,START,HIGH,P2L_A_20260827_103803_001,IMG_003745,2026-08-27T02:38:04.117191+00:00,6.985410339
p2l_probe,,P2L_A,2,HIGH_TO_LOW,HIGH,LOW,P2L_A_20260827_103803_002,IMG_003745,2026-08-27T02:38:12.487577+00:00,0.502385124
p2l_probe,,P2L_B,1,START_LOW,START,LOW,P2L_B_20260827_103851_001,IMG_003745,2026-08-27T02:38:51.462820+00:00,0.508403137
p2l_probe,,P2L_C,1,START_LOW,START,LOW,P2L_C_20260827_103933_001,IMG_004002,2026-08-27T02:39:33.966023+00:00,0.440024236
