scope,component,count,mean,median,p50,p90,p95,max
HISTORICAL_SCREEN,client,120,1.5936374922593435,1.580912470817566,1.580912470817566,1.74936044216156,1.8146114349365234,1.992321491241455
HISTORICAL_SCREEN,total,120,1.5854916398583334,1.5728406769999999,1.5728406769999999,1.7414782861,1.80616850635,1.983871098
HISTORICAL_SCREEN,load,120,0.45593665124166666,0.4595179035,0.4595179035,0.488110863,0.50548487375,0.520834357
HISTORICAL_SCREEN,prompt_eval,120,0.122913798675,0.120626254,0.120626254,0.1348102542,0.1423305558,0.160799673
HISTORICAL_SCREEN,eval,120,0.4853633468333333,0.465114041,0.465114041,0.5939261178,0.6406299388999999,0.813112733
HISTORICAL_SCREEN,client_overhead,120,0.008145852401010128,0.007994000849487315,0.007994000849487315,0.008712948550671373,0.009256401923205548,0.01863017368103037
HISTORICAL_SCREEN,load_ratio,120,0.2887208180572846,0.2888219730400049,0.2888219730400049,0.3178993577472893,0.32285431119341595,0.3493021467441146
HISTORICAL_SCREEN,prompt_eval_ratio,120,0.07788078462870883,0.07697114938358611,0.07697114938358611,0.08737654603405683,0.08973598131835117,0.1043455337993905
HISTORICAL_SCREEN,eval_ratio,120,0.3041010234784366,0.2957500245350819,0.2957500245350819,0.3476431480081638,0.3740457343671612,0.4165447195272113
HISTORICAL_VAL,client,100,10.385933508872986,14.682363271713257,14.682363271713257,15.81425304412842,18.144259083271027,21.15741229057312
HISTORICAL_VAL,total,100,10.37751463788,14.6737211235,14.6737211235,15.806042764600004,18.1364866477,21.146446276
HISTORICAL_VAL,load,100,9.03009100831,13.3247002285,13.3247002285,14.2992463753,16.756086834199998,19.819996634
HISTORICAL_VAL,prompt_eval,100,0.14228249416,0.140699022,0.140699022,0.16013801960000001,0.16767448705000002,0.187441342
HISTORICAL_VAL,eval,100,0.52579053625,0.493393449,0.493393449,0.6733007731,0.7448425519999999,0.864074922
HISTORICAL_VAL,client_overhead,100,0.00841887099298586,0.008321858170410201,0.008321858170410201,0.009683388879345634,0.009963560501764423,0.02144025375036618
HISTORICAL_VAL,load_ratio,100,0.675362743131486,0.8953876078435035,0.8953876078435035,0.9157381410365765,0.9233838165772146,0.9383569690314819
HISTORICAL_VAL,prompt_eval_ratio,100,0.03548448347511953,0.01047983627074637,0.01047983627074637,0.08343266903480506,0.08698666908743417,0.09476947248387341
HISTORICAL_VAL,eval_ratio,100,0.13631099354554155,0.043350306616454726,0.043350306616454726,0.3272062104833061,0.33892324133118973,0.4351352434072896
P2L_A,client,24,1.7012608333333334,1.418261,1.418261,1.4714084,1.5182995,8.285873
P2L_A,total,24,1.6935315640833333,1.4114151965000001,1.4114151965000001,1.4622147961,1.5111172043999999,8.280188171
